step,train,val,lr,elapsed_sec
4660,1.884450,1.943110,2.99833022e-04,633.8
4670,1.901748,1.936688,2.99831765e-04,635.2
4680,1.999276,1.996523,2.99830502e-04,636.6
4690,2.008210,1.862182,2.99829235e-04,638.0
4700,1.905712,1.971053,2.99827964e-04,639.4
4710,1.913009,1.818231,2.99826687e-04,640.9
4720,1.930237,1.868872,2.99825406e-04,642.3
4730,1.960263,2.021210,2.99824120e-04,643.7
4740,1.950498,1.921255,2.99822830e-04,645.1
4750,1.913141,1.863453,2.99821534e-04,646.5
4760,1.895117,1.986989,2.99820234e-04,647.9
4770,2.023911,1.917649,2.99818930e-04,649.2
4780,1.971953,1.886515,2.99817620e-04,650.5
4790,1.783230,1.902574,2.99816306e-04,651.8
4800,2.006838,1.942857,2.99814987e-04,653.1
4810,1.900331,1.965119,2.99813664e-04,654.4
4820,1.884421,2.003475,2.99812335e-04,655.7
4830,1.835130,1.905515,2.99811002e-04,657.0
4840,1.895118,1.854524,2.99809665e-04,658.3
4850,1.879754,1.955362,2.99808322e-04,659.6
4860,1.874060,2.043225,2.99806975e-04,660.9
4870,1.858715,1.932736,2.99805623e-04,662.3
4880,1.875056,1.841617,2.99804267e-04,663.6
4890,1.862446,1.997720,2.99802905e-04,664.9
4900,2.026920,1.832360,2.99801539e-04,666.3
4910,2.087098,1.998623,2.99800169e-04,667.7
4920,1.918495,2.021195,2.99798793e-04,669.1
4930,1.872808,1.914615,2.99797413e-04,670.5
4940,1.935467,1.938967,2.99796028e-04,671.9
4950,1.981907,1.958372,2.99794639e-04,673.3
4960,1.960321,1.944316,2.99793244e-04,674.7
4970,1.978032,1.888037,2.99791845e-04,676.0
4980,1.971793,1.844834,2.99790442e-04,677.4
4990,2.011280,1.858905,2.99789033e-04,678.9
5000,1.940017,1.947753,2.99787620e-04,680.2
5010,1.814436,1.875965,2.99786202e-04,682.2
5020,1.927477,1.930887,2.99784780e-04,683.9
5030,1.992410,1.815503,2.99783352e-04,685.5
5040,1.784365,1.850914,2.99781920e-04,687.0
5050,1.826786,1.936953,2.99780484e-04,688.5
5060,1.870698,1.952879,2.99779042e-04,690.1
5070,1.940914,1.825023,2.99777596e-04,691.5
5080,1.826626,1.880686,2.99776145e-04,693.0
5090,1.934050,1.909007,2.99774690e-04,694.4
5100,1.949619,1.891211,2.99773229e-04,695.9
5110,1.842435,1.840642,2.99771764e-04,697.3
5120,1.769176,1.889420,2.99770295e-04,698.7
5130,1.935740,1.873639,2.99768820e-04,700.1
5140,1.868137,1.752904,2.99767341e-04,701.5
5150,1.884419,1.893561,2.99765857e-04,702.8
5160,1.718913,1.764940,2.99764369e-04,704.1
5170,1.869062,2.015872,2.99762876e-04,705.4
5180,2.045361,1.805067,2.99761378e-04,706.7
5190,1.948391,1.805796,2.99759875e-04,707.9
5200,1.764890,1.874071,2.99758368e-04,709.2
5210,1.931207,1.864079,2.99756855e-04,710.4
5220,1.925716,1.846050,2.99755339e-04,711.7
5230,1.871373,1.920613,2.99753817e-04,712.9
5240,1.927706,1.962422,2.99752291e-04,714.2
5250,1.837415,1.890989,2.99750760e-04,715.4
5260,1.675621,1.919976,2.99749224e-04,716.7
5270,1.820627,1.760666,2.99747684e-04,717.9
5280,1.964635,1.940113,2.99746139e-04,719.2
5290,1.830266,1.800594,2.99744589e-04,720.4
5300,1.968831,1.763308,2.99743034e-04,721.7
5310,1.827307,1.789811,2.99741475e-04,723.0
5320,1.920018,1.813073,2.99739911e-04,724.2
5330,2.017997,1.861955,2.99738343e-04,725.5
5340,1.814633,1.934125,2.99736769e-04,726.8
5350,1.836446,1.955537,2.99735191e-04,728.1
5360,2.022994,1.883434,2.99733608e-04,729.4
5370,1.844120,1.827143,2.99732021e-04,730.7
5380,1.876795,1.870882,2.99730429e-04,732.0
